"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"daniel evans",0.415410385259631,-0.0171876012520246,-0.764686822051297,0.964288100976972,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1541.15169675969,1.11986040292746,-0.0645527835184764,-0.00855066833333905,-0.109824375466274,-0.0702032466012261,0.406917670786664,0.399877379369163,0.398759663105011,-0.0557563058828578
"daniil medvedev",0.370393504059963,0.552564191287644,0.790901794667572,-0.94477408010644,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1587.42307623326,3.34112946592013,0.987273423893555,-0.16760058772208,0.0516946393328658,0.0307681586233842,0.427892877022538,0.441871569847548,0.467101067304611,0.117348092671175
"david goffin",0.425373134328358,-1.8329158164713,-0.128149745741978,0.121090644678828,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1519.87139544024,0.0982942531858552,-0.548289790801851,-0.0630785294660754,-0.121631371564219,0.0297081398713461,0.350165999000889,0.393585124571025,0.410712331533432,-0.459183821174592
"denis kudla",0.544973544973545,-0.0316343858537223,-0.770403285908333,0.0375574074216044,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,0.52428366264818,0.353221736768873,0.408287920121027,0.390147598627705,0.395358282105164,0.3724045753479,-0.106643846475801
"denis shapovalov",0.445065176908752,0.927392130488355,-0.401585055790963,-0.622231666028122,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1532.28500401926,0.694212615905879,-0.266107608629597,0.185152904699123,0.442058524262672,0.521739761307192,0.444746639290073,0.454751153711724,0.499574065208435,0.160307469209186
"diego schwartzman",0.331699346405229,-1.11382872502422,-0.692111468539935,1.37638064684004,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1525.2639826894,0.357166743315332,-0.425707221210148,-0.363641398414456,-0.320683436920681,-0.352575318234679,0.411466000455836,0.41387048653059,0.421719402074814,-0.344704314542468
"dominic stricker",0.378378378378378,-0.0382151302631089,0.938556419259887,0.0791412049720676,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1547.7866511858,1.4383730379249,0.0862708796134461,-0.129587607749257,-0.148991630446708,-0.171022005657909,0.429864654423581,0.412852394547996,0.41425347328186,0.00914410385707522
"dominic thiem",0.352173913043478,0.303528236347023,-0.0335234431330563,-0.256622076197979,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,-0.277630545671231,-0.322265861913734,-0.290167661943032,0.409866028926863,0.403783163666871,0.414629459381104,0.0245940022620079
"dominik koepfer",0.269607843137255,-0.306274011727197,-2.99084259432677,0.91473435178161,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,-0.528671488299014,-0.63396400697164,-0.32474603072752,0.47195893865673,0.40457978495554,0.491300731897354,-0.175339422599105
"dusan lajovic",0.472727272727273,-0.687544643837062,-0.350927672071932,-0.018608722454015,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1508.46660281028,-0.449195649362889,-0.807539891290972,0.191827574551498,0.109762999649699,0.108518285834305,0.378974938144401,0.399726638548321,0.379801481962204,-0.269167832937045
